         110039 function calls (109831 primitive calls) in 181.397 seconds

   Ordered by: cumulative time
   List reduced from 608 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46/30    0.003    0.000  257.532    8.584 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/transcribe.py:1802(restore_speech_timestamps)
    19/18    0.001    0.000  189.069   10.504 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:637(wait)
    45/21    0.000    0.000  152.418    7.258 /private/tmp/claude-501/-Users-yonatanohayon-Desktop-BRS-Model-main/e125e1e3-6108-476d-ab24-71bc406394de/scratchpad/qa_perf/asr_profile.py:16(<genexpr>)
    19/18    0.006    0.000  134.167    7.454 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:323(wait)
    80/74  105.446    1.318  105.450    1.425 {method 'acquire' of '_thread.lock' objects}
       49    0.001    0.000   65.050    1.328 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/transcribe.py:1061(generate_segments)
        7   38.104    5.443   38.104    5.443 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/transcribe.py:1349(encode)
        7    0.004    0.001   36.172    5.167 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/transcribe.py:1525(add_word_timestamps)
        7   32.861    4.694   32.888    4.698 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/transcribe.py:1360(generate_with_fallback)
        7    3.677    0.525    3.702    0.529 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/transcribe.py:1656(find_alignment)
        1    0.591    0.591    0.592    0.592 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:269(run)
        1    0.074    0.074    0.251    0.251 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/feature_extractor.py:198(__call__)
        1    0.001    0.001    0.172    0.172 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:425(__init__)
        1    0.023    0.023    0.158    0.158 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/feature_extractor.py:67(stft)
        1    0.000    0.000    0.132    0.132 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:320(rfft)
        1    0.000    0.000    0.132    0.132 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:49(_raw_fft)
        1    0.132    0.132    0.132    0.132 {built-in method numpy.fft._pocketfft_internal.execute}
        1    0.003    0.003    0.105    0.105 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/faster_whisper/audio.py:19(decode_audio)
     24/5    0.000    0.000    0.074    0.015 <frozen importlib._bootstrap>:1349(_find_and_load)
     24/5    0.000    0.000    0.074    0.015 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     23/6    0.000    0.000    0.072    0.012 <frozen importlib._bootstrap>:911(_load_unlocked)
     18/5    0.000    0.000    0.070    0.014 <frozen importlib._bootstrap_external>:989(exec_module)
    63/12    0.000    0.000    0.070    0.006 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.067    0.067    0.067    0.067 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:502(_create_inference_session)
     19/5    0.000    0.000    0.067    0.013 {built-in method builtins.exec}
       19    0.000    0.000    0.066    0.003 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/tqdm/std.py:766(get_lock)
        1    0.000    0.000    0.066    0.066 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/tqdm/std.py:88(__init__)
        1    0.000    0.000    0.066    0.066 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/tqdm/std.py:114(create_mp_lock)
        1    0.000    0.000    0.062    0.062 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/context.py:70(RLock)
        1    0.000    0.000    0.057    0.057 /Users/yonatanohayon/Desktop/BRS_Model-main/.venv/lib/python3.12/site-packages/onnxruntime/__init__.py:1(<module>)



segments: 48
